F1,F2,F3,F4,F5,F6
31.0,48.0,20.0,17.0,28.0,18.0
31.0,47.0,19.0,17.0,27.0,20.0
36.0,46.0,19.0,18.0,32.0,17.0
32.0,54.0,12.0,15.0,30.0,16.0
37.0,47.0,22.0,19.0,36.0,19.0
36.0,51.0,20.0,23.0,37.0,24.0
36.0,56.0,22.0,19.0,29.0,22.0
39.0,49.0,18.0,21.0,29.0,16.0
36.0,52.0,21.0,22.0,30.0,19.0
35.0,58.0,28.0,19.0,40.0,23.0
33.0,48.0,20.0,19.0,31.0,20.0
38.0,56.0,28.0,22.0,29.0,19.0
30.0,45.0,18.0,16.0,33.0,18.0
30.0,52.0,23.0,18.0,31.0,18.0
30.0,49.0,17.0,19.0,30.0,23.0
30.0,54.0,26.0,23.0,31.0,11.0
32.0,55.0,18.0,18.0,29.0,21.0
33.0,51.0,6.0,14.0,22.0,23.0
36.0,55.0,21.0,19.0,39.0,21.0
31.0,41.0,17.0,16.0,27.0,16.0
32.0,60.0,22.0,21.0,26.0,17.0
36.0,55.0,12.0,18.0,33.0,17.0
30.0,51.0,22.0,16.0,35.0,21.0
34.0,51.0,17.0,20.0,28.0,21.0
38.0,53.0,24.0,17.0,24.0,18.0
29.0,44.0,16.0,16.0,27.0,17.0
32.0,51.0,20.0,19.0,31.0,19.0
27.0,50.0,20.0,11.0,27.0,18.0
29.0,53.0,16.0,17.0,22.0,18.0
31.0,47.0,18.0,19.0,31.0,15.0
36.0,57.0,22.0,20.0,35.0,22.0
34.0,50.0,19.0,15.0,30.0,21.0
29.0,52.0,18.0,16.0,28.0,21.0
38.0,57.0,16.0,24.0,33.0,21.0
31.0,52.0,17.0,20.0,27.0,19.0
25.0,47.0,14.0,22.0,34.0,19.0
36.0,55.0,16.0,21.0,30.0,23.0
25.0,43.0,10.0,12.0,29.0,16.0
23.0,45.0,15.0,16.0,25.0,15.0
36.0,51.0,17.0,21.0,29.0,20.0
24.0,44.0,17.0,12.0,20.0,12.0
34.0,52.0,23.0,17.0,35.0,18.0
36.0,56.0,14.0,16.0,32.0,23.0
32.0,54.0,20.0,18.0,33.0,20.0
38.0,58.0,17.0,21.0,32.0,20.0
26.0,57.0,23.0,19.0,33.0,20.0
27.0,51.0,21.0,17.0,26.0,19.0
36.0,54.0,20.0,16.0,37.0,19.0
32.0,49.0,17.0,19.0,28.0,20.0
32.0,49.0,22.0,19.0,29.0,16.0
34.0,52.0,24.0,17.0,29.0,23.0
32.0,51.0,18.0,20.0,30.0,19.0
39.0,56.0,22.0,18.0,34.0,22.0
38.0,58.0,25.0,19.0,38.0,22.0
31.0,48.0,24.0,18.0,27.0,18.0
35.0,51.0,14.0,17.0,26.0,16.0
39.0,55.0,21.0,24.0,32.0,18.0
35.0,51.0,15.0,19.0,24.0,18.0
35.0,53.0,24.0,16.0,31.0,23.0
38.0,57.0,29.0,16.0,30.0,18.0
29.0,53.0,22.0,25.0,34.0,19.0
34.0,53.0,23.0,23.0,31.0,19.0
34.0,49.0,18.0,18.0,32.0,17.0
37.0,56.0,23.0,18.0,32.0,19.0
30.0,49.0,24.0,25.0,26.0,10.0
28.0,52.0,9.0,16.0,30.0,17.0
38.0,58.0,25.0,20.0,37.0,21.0
38.0,56.0,23.0,14.0,33.0,18.0
35.0,60.0,23.0,24.0,29.0,21.0
36.0,60.0,23.0,22.0,38.0,24.0
40.0,59.0,22.0,21.0,37.0,21.0
35.0,55.0,22.0,17.0,27.0,16.0
